Date,Centre_Name,Commodity_Name,Price
21-10-2010,VIJAYWADA,Potato,15.0
22-10-2010,VIJAYWADA,Potato,15.0
25-10-2010,VIJAYWADA,Potato,15.0
26-10-2010,VIJAYWADA,Potato,15.0
27-10-2010,VIJAYWADA,Potato,15.0
28-10-2010,VIJAYWADA,Potato,15.0
29-10-2010,VIJAYWADA,Potato,15.0
01-11-2010,VIJAYWADA,Potato,15.0
02-11-2010,VIJAYWADA,Potato,15.0
03-11-2010,VIJAYWADA,Potato,15.0
04-11-2010,VIJAYWADA,Potato,16.0
08-11-2010,VIJAYWADA,Potato,16.0
09-11-2010,VIJAYWADA,Potato,16.0
10-11-2010,VIJAYWADA,Potato,16.0
11-11-2010,VIJAYWADA,Potato,16.0
12-11-2010,VIJAYWADA,Potato,16.0
15-11-2010,VIJAYWADA,Potato,16.0
16-11-2010,VIJAYWADA,Potato,16.0
18-11-2010,VIJAYWADA,Potato,16.0
19-11-2010,VIJAYWADA,Potato,16.0
22-11-2010,VIJAYWADA,Potato,16.0
23-11-2010,VIJAYWADA,Potato,16.0
24-11-2010,VIJAYWADA,Potato,16.0
25-11-2010,VIJAYWADA,Potato,16.0
26-11-2010,VIJAYWADA,Potato,16.0
29-11-2010,VIJAYWADA,Potato,16.0
30-11-2010,VIJAYWADA,Potato,16.0
01-12-2010,VIJAYWADA,Potato,16.0
02-12-2010,VIJAYWADA,Potato,16.0
03-12-2010,VIJAYWADA,Potato,16.0
06-12-2010,VIJAYWADA,Potato,16.0
07-12-2010,VIJAYWADA,Potato,17.0
08-12-2010,VIJAYWADA,Potato,17.0
09-12-2010,VIJAYWADA,Potato,17.0
10-12-2010,VIJAYWADA,Potato,17.0
13-12-2010,VIJAYWADA,Potato,17.0
14-12-2010,VIJAYWADA,Potato,17.0
15-12-2010,VIJAYWADA,Potato,17.0
16-12-2010,VIJAYWADA,Potato,17.0
20-12-2010,VIJAYWADA,Potato,15.0
21-12-2010,VIJAYWADA,Potato,14.0
22-12-2010,VIJAYWADA,Potato,14.0
23-12-2010,VIJAYWADA,Potato,15.0
24-12-2010,VIJAYWADA,Potato,14.0
27-12-2010,VIJAYWADA,Potato,15.0
28-12-2010,VIJAYWADA,Potato,15.0
29-12-2010,VIJAYWADA,Potato,15.0
